Date,AAPL,AMZN,ED,F,JNJ,JPM,ORCL,TSLA,V,WMT,XOM
2019-03-29 00:00:00,1.097025742,1.085935766,1.028623248,1.001140057,1.023053124,0.9700078745,1.030308715,0.8748905621,1.054482966,0.9905522377,1.022396439
2019-02-28 00:00:00,1.04477641,0.9540939965,1.071859939,0.9965909088,1.033560538,1.008309078,1.037826113,1.041886562,1.09901857,1.032974924,1.090439423
2019-01-31 00:00:00,1.055154199,1.144317139,1.015563422,1.170367286,1.031228146,1.068843611,1.11691842,0.9225360814,1.023267947,1.028770988,1.074644355
2018-12-31 00:00:00,0.8833015855,0.8886502137,0.9515868591,0.8129649483,0.8784888617,0.8779567218,0.9259637818,0.9495548522,0.93105659,0.9591227027,0.8577358762
2018-11-30 00:00:00,0.8188024084,1.05767175,1.066847745,0.9853402034,1.05604292,1.019904627,0.9983622474,1.039013458,1.029847156,0.9737732931,1.007855255
2018-10-31 00:00:00,0.9695224331,0.7978082924,0.9975061322,1.050979171,1.01317231,0.9729124576,0.9510598839,1.274011382,0.9184489992,1.067830806,0.9371912613
2018-09-28 00:00:00,0.9916970074,0.995175678,0.9652856054,0.9757383952,1.025837069,0.984814235,1.061341731,0.8777099702,1.021785012,0.9796578371,1.060496503
2018-08-31 00:00:00,1.200422287,1.13236454,1.009127598,0.9442233079,1.023148388,0.9967810526,1.018875937,1.011806574,1.075843077,1.080541996,0.9937050789
2018-07-31 00:00:00,1.027983148,1.045675897,1.012182303,0.9197056625,1.092137882,1.109161797,1.086405462,0.8693395763,1.032389486,1.041798192,0.9852532172
2018-06-29 00:00:00,0.9905818083,1.043065288,1.016291036,0.9584414699,1.014378629,0.9737408884,0.9430649694,1.204474368,1.013234273,1.03767847,1.018340834
2018-05-31 00:00:00,1.13512393,1.040539412,0.9665876371,1.027580064,0.9527012458,0.983728556,1.022991142,0.9687989168,1.031920465,0.9389558184,1.055478411
2018-04-30 00:00:00,0.9849803505,1.082074731,1.028098705,1.028051238,0.9870465334,0.9941949669,1.002384258,1.10434744,1.060692164,0.9942675376,1.042085343
2018-03-29 00:00:00,0.9419493326,0.9569506513,1.040726462,1.044297854,0.9866799097,0.9521212497,0.9029012932,0.7757535434,0.9729951062,0.994338852,0.985080777
2018-02-28 00:00:00,1.068184644,1.042429086,0.9406204152,0.9671831097,0.9458837943,0.9985302714,0.9821670357,0.9682481441,0.9913389873,0.8443713958,0.8764545903
2018-01-31 00:00:00,0.9893637511,1.240638966,0.945968211,0.8999318712,0.9890494302,1.087269331,1.095408286,1.137979749,1.089545664,1.07949377,1.043759169
2017-12-29 00:00:00,0.984754165,0.9938134444,0.9540653862,0.9976038057,1.002799154,1.023153428,0.9637179414,1.008094544,1.012700891,1.020985476,1.004202016
2017-11-30 00:00:00,1.020278007,1.06466232,1.042895913,1.020374864,1.005546323,1.038862999,0.9638506168,0.9315899117,1.02554542,1.11361813,1.008528519
2017-10-31 00:00:00,1.096807746,1.149716604,1.066559389,1.037790958,1.07230227,1.059555242,1.056892761,0.9719436906,1.045040051,1.117353513,1.016711131
2017-09-29 00:00:00,0.9397560578,0.9803691612,0.9573987498,1.085222339,0.9821711784,1.05083037,0.9606596752,0.9584152982,1.016615115,1.000896595,1.074020641
2017-08-31 00:00:00,1.106999338,0.9927311208,1.025555846,0.983065908,1.003707281,0.9900870846,1.008011249,1.100256593,1.04144938,0.9821363275,0.962891855
2017-07-31 00:00:00,1.032703683,1.020433915,1.025241425,1.015557865,1.003250323,1.009901046,0.9995679461,0.8945272739,1.061633588,1.056950315,0.9914529348
2017-06-30 00:00:00,0.9427861123,0.9732360145,0.9762046972,1.006295077,1.031500949,1.11259877,1.104648723,1.060408711,0.9847736774,0.9628496671,1.00285698
2017-05-31 00:00:00,1.067807439,1.075276496,1.053370162,0.9694854707,1.045602248,0.9442529408,1.009563886,1.085777126,1.045812289,1.052487507,0.9952258693
2017-04-28 00:00:00,0.9999305657,1.043370872,1.020860134,0.9986755316,0.9913286542,0.9961281519,1.012187797,1.128530351,1.02644299,1.043007518,0.9956103873
2017-03-31 00:00:00,1.048689465,1.049110103,1.008048048,0.9289705885,1.019147504,0.969322343,1.047429477,1.113244502,1.010575376,1.023685496,1.00848514
2017-02-28 00:00:00,1.13377809,1.026181569,1.045833678,1.013754004,1.086257607,1.07077908,1.061829949,0.9922994388,1.06525679,1.062780872,0.9782286724
2017-01-31 00:00:00,1.047746252,1.098163663,1.009093451,1.035382818,0.9829874318,0.9861889819,1.047258242,1.178950882,1.060112719,0.9655669096,0.9294260469
2016-12-30 00:00:00,1.047955184,0.9990673592,1.056041464,1.014213754,1.035130267,1.076337964,0.956705898,1.128247037,1.00905332,0.9884241713,1.033905824
